"assignment_id";"created";"changed";"assignment_title";"student";"Role";"uai_el";"activity_id";"teacher";"uai_teach";"mathadata_id";"mathadata_title"
"3361452";"1712233005";"1712233005";"Intro à l'IA : classification de chiffres 2 et 7";"acede8cc7313e4a25fe2da257f5d83dc";"student";NULL;"3311995";"c9acad9f55d42197687c1ca0b9968ecc";NULL;"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3361535";"1712233127";"1712233127";"Intro à l'IA : classification de chiffres 2 et 7";"a5c6e78db67eff715afeac98de4a9b3c";"student";NULL;"3311995";"c9acad9f55d42197687c1ca0b9968ecc";NULL;"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3370705";"1712305479";"1712311125";"[NSI][SNT] Intro à l'IA : classification de chiffres 2 et 7";"688a9b2efc66c1a3ce81994b1e1ffafe";"student";NULL;"3311995";"c9acad9f55d42197687c1ca0b9968ecc";NULL;"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3370998";"1712306050";"1712306050";"[NSI][SNT] Intro à l'IA : classification de chiffres 2 et 7";"027beb31a74d4b84eec20483c4704257";"student";NULL;"3311995";"c9acad9f55d42197687c1ca0b9968ecc";NULL;"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3371049";"1712306198";"1712306271";"[NSI][SNT] Intro à l'IA : classification de chiffres 2 et 7";"bdf16addf29f404c5a1bb06fcc7c9ea8";"student";NULL;"3311995";"c9acad9f55d42197687c1ca0b9968ecc";NULL;"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3371137";"1712306460";"1712308111";"[NSI][SNT] Intro à l'IA : classification de chiffres 2 et 7";"f478341fcac230a2800f0f43b24b8029";"student";NULL;"3311995";"c9acad9f55d42197687c1ca0b9968ecc";NULL;"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3798533";"1720085297";"1720085297";"[NSI][SNT] Intro à l'IA : classification de chiffres 2 et 7";"c9acad9f55d42197687c1ca0b9968ecc";"teacher";NULL;"3311995";"c9acad9f55d42197687c1ca0b9968ecc";NULL;"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3798534";"1720085309";"1720085309";"[NSI][SNT] Intro à l'IA : classification de chiffres 2 et 7";"cda841747bee71b547af63e5a1ed9732";"teacher";NULL;"3311995";"c9acad9f55d42197687c1ca0b9968ecc";NULL;"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3798535";"1720085313";"1720085313";"[NSI][SNT] Intro à l'IA : classification de chiffres 2 et 7";"eeddd750a15094e4e1def01bde34113a";"teacher";NULL;"3311995";"c9acad9f55d42197687c1ca0b9968ecc";NULL;"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
"3798537";"1720085342";"1720085342";"[NSI][SNT] Intro à l'IA : classification de chiffres 2 et 7";"a49a65e17ed9a407604050af7c2d4fa9";"teacher";NULL;"3311995";"c9acad9f55d42197687c1ca0b9968ecc";NULL;"2548348";"Intro à l'IA : classification de chiffres 2 et 7"
