nom,uai,type_etablissement,commune,academie,departement,secteur,ips,latitude,longitude
Lycée général et technologique privé Mercier Saint-Paul,0783857U,lycee,Meulan-en-Yvelines,Versailles,Yvelines,Privé,130.9,49.00657879293731,1.918281289317691
Ecole secondaire privée EMI des enfants,0783869G,college,Conflans-Sainte-Honorine,Versailles,Yvelines,Privé,,49.00912713601104,2.1173854401701053
Collège Léo Desaivre,0790013K,college,Champdeniers,Poitiers,Deux-Sèvres,Public,111.4,46.48800018097829,-0.4057929210361397
Collège Henri Martineau,0790016N,college,Coulonges-sur-l'Autize,Poitiers,Deux-Sèvres,Public,107.5,46.47826221581628,-0.6001696420208839
Collège Jean Monnet,0790017P,college,Lezay,Poitiers,Deux-Sèvres,Public,97.1,46.26119122745673,-0.011633665624370397
Lycée général et technologique Jean Macé,0790023W,lycee,Niort,Poitiers,Deux-Sèvres,Public,122.7,46.33099437629192,-0.4691526150518158
Collège Jean de La Fontaine,0790035J,college,Thénezay,Poitiers,Deux-Sèvres,Public,93.1,46.714091592341894,-0.03166140129009741
Lycée général et technologique Cité scolaire Jean Moulin,0790036K,lycee,Thouars,Poitiers,Deux-Sèvres,Public,103.1,46.993444932319164,-0.21333764215906562
"Lycée professionnel Jean Moulin - Lycée des métiers de la production, de l'habitat et des services",0790038M,lycee,Thouars,Poitiers,Deux-Sèvres,Public,82.2,46.993444932319164,-0.21333764215906562
Lycée professionnel Paul Guérin,0790043T,lycee,Niort,Poitiers,Deux-Sèvres,Public,92.5,46.31473777014101,-0.4429861304142442
Lycée général et technologique privé Saint Charles,0790058J,lycee,Thouars,Poitiers,Deux-Sèvres,Privé,112.1,46.97855107045898,-0.21002905190835822
Collège privé Saint Joseph,0790071Y,college,Parthenay,Poitiers,Deux-Sèvres,Privé,108.8,46.64441063140175,-0.24565807888456598
Lycée polyvalent privé Saint Joseph - Lycée des métiers de la relation client,0790080H,lycee,Bressuire,Poitiers,Deux-Sèvres,Privé,102,46.8370149634032,-0.48927818065733547
Collège Jules Supervielle,0790091V,college,Bressuire,Poitiers,Deux-Sèvres,Public,94.4,46.84448710625843,-0.4788430185330034
Collège Philippe de Commynes,0790703K,college,Niort,Poitiers,Deux-Sèvres,Public,115.1,46.309137939879164,-0.4480754638392079
Collège Voltaire,0790704L,college,Airvault,Poitiers,Deux-Sèvres,Public,94.6,46.823057324830735,-0.13309351503157613
Collège Marie de La Tour d'Auvergne,0790708R,college,Thouars,Poitiers,Deux-Sèvres,Public,90.2,46.97091170331819,-0.21729976953887273
Collège Emile Zola,0790950D,college,Prahecq,Poitiers,Deux-Sèvres,Public,113,46.26141234308336,-0.3426975214898728
Collège Départemental Jean Rostand,0791002K,college,Thouars,Poitiers,Deux-Sèvres,Public,91.6,46.97457270480655,-0.18980312585630363
Ecole secondaire privée hors contrat Fractale,0791177A,college,Chauray,Poitiers,Deux-Sèvres,Privé,,46.34360888287812,-0.4053229088027037
Lycée privé Hors contrat Akène de Niort,0791210L,lycee,Niort,Poitiers,Deux-Sèvres,Privé,,46.34421433285847,-0.4387340359484122
Lycée général Madeleine Michelis,0800010B,lycee,Amiens,Amiens,Somme,Public,117.4,49.88921414281806,2.302983194763526
