uai,nom,type_etab,secteur,academie,departement,commune,ips,lat,lon,n_profs,n_profs_taught,n_profs_tested_only,n_eleves,n_eleves_uniq,n_sessions,n_tests,sy_set
0590117G,Lycée général et technologique Louis Pasteur,lycee,Public,Lille,Nord,Lille,115.4,50.642779647074164,3.0701394574229663,4,4,0,263,161,26,3,2023-2024|2024-2025|2025-2026
0590119J,Lycée général et technologique Faidherbe,lycee,Public,Lille,Nord,Lille,128.8,50.61476444362888,3.0777002640212037,1,1,0,30,30,1,1,2025-2026
0590121L,Lycée général et technologique César Baggio,lycee,Public,Lille,Nord,Lille,95.8,50.61704679945079,3.0683106686912387,3,2,1,47,37,4,3,2023-2024|2024-2025|2025-2026
0590122M,Lycée polyvalent Valentine Labbé,lycee,Public,Lille,Nord,La Madeleine,85.9,50.647633412189506,3.072290231459998,1,1,0,1,1,1,0,2024-2025
0590198V,Lycée professionnel Georges Guynemer,lycee,Public,Lille,Nord,Dunkerque,76.9,51.027301603302405,2.356039773078277,1,1,0,6,6,2,1,2025-2026
0590223X,Lycée général et technologique du Hainaut,lycee,Public,Lille,Nord,Valenciennes,95.7,50.35766226026153,3.510349990297744,1,1,0,7,5,1,0,2025-2026
0592921E,Lycée général et technologique privé Saint Rémi,lycee,Privé,Lille,Nord,Roubaix,101.4,50.69421574675568,3.181114656257771,1,1,0,19,19,1,1,2025-2026
0595867G,Lycée général et technologique international Montebello,lycee,Public,Lille,Nord,Lille,106.5,50.620118605335925,3.0474805569861947,1,1,0,36,36,5,0,2024-2025
0596925G,Lycée polyvalent Charlotte Perriand,lycee,Public,Lille,Nord,Genech,129.9,50.52269734088659,3.218869763943286,3,3,0,205,141,50,0,2024-2025|2025-2026
0597005U,Lycée polyvalent du Val de Lys,lycee,Public,Lille,Nord,Estaires,99.4,50.644029993116504,2.7044897620264567,1,1,0,28,28,1,2,2025-2026
0600002B,Lycée polyvalent Paul Langevin - Lycée des métiers de l'industrie et du génie civil,lycee,Public,Amiens,Oise,Beauvais,102.0,49.4150526818292,2.108599765329404,2,2,0,25,25,4,0,2024-2025
0600013N,Lycée général et technologique Cassini,lycee,Public,Amiens,Oise,Clermont,110.1,49.383578390347346,2.406360498971291,1,1,0,33,33,2,0,2024-2025|2025-2026
0600021X,Lycée général et technologique Jules Uhry,lycee,Public,Amiens,Oise,Creil,84.5,49.258621263841796,2.47333063537428,1,1,0,13,13,4,0,2024-2025|2025-2026
0601826J,Lycée général et technologique Hugues Capet,lycee,Public,Amiens,Oise,Senlis,118.5,49.191623321975094,2.571269631202975,1,1,0,27,27,2,0,2025-2026
0601863Z,Lycée polyvalent Charles de Gaulle - Lycée des métiers de la restauration et du tourisme,lycee,Public,Amiens,Oise,Compiègne,106.8,49.38532643849857,2.780289962648359,2,1,1,15,15,2,11,2024-2025|2025-2026
0620006V,Lycée général et technologique Robespierre,lycee,Public,Lille,Pas-de-Calais,Arras,122.1,50.28746924484588,2.7655204011797494,1,1,0,38,38,3,0,2025-2026
0620140R,Lycée polyvalent Eugène Woillez,lycee,Public,Lille,Pas-de-Calais,Montreuil-sur-Mer,103.0,50.46465147539644,1.7656944156132608,4,4,0,118,100,8,2,2024-2025|2025-2026
0620189U,Lycée professionnel Pierre de Coubertin,lycee,Public,Lille,Pas-de-Calais,Calais,79.5,50.95670366866296,1.8360201778438683,1,1,0,5,4,2,0,2025-2026
0622276M,Lycée polyvalent Jan Lavezzari,lycee,Public,Lille,Pas-de-Calais,Berck,98.4,50.39813402623474,1.5594971419606591,1,1,0,1,1,1,0,2025-2026
0622803K,Lycée général et technologique Blaise Pascal,lycee,Public,Lille,Pas-de-Calais,Longuenesse,104.6,50.73867971356185,2.2561397443597024,1,0,1,0,0,0,3,2024-2025
0623328F,Lycée Professionnel Henri Senez - Lycée des Métiers,lycee,Public,Lille,Pas-de-Calais,Hénin-Beaumont,76.5,50.404301797466154,2.964260263514632,1,0,1,0,0,0,1,2025-2026
0623915U,Lycée général et technologique Voltaire,lycee,Public,Lille,Pas-de-Calais,Wingles,106.5,50.488411414449956,2.8546904110900857,1,1,0,15,15,4,2,2025-2026
0624141P,Lycée polyvalent Léonard de Vinci,lycee,Public,Lille,Pas-de-Calais,Calais,101.4,50.95239038150301,1.8800993924364584,6,6,0,392,297,21,6,2024-2025|2025-2026
0640228A,Collège Irandatz,college,Public,Bordeaux,Pyrénées-Atlantiques,Hendaye,104.4,43.351104277682055,-1.775331375063202,1,1,0,5,4,3,3,2025-2026
0641941M,Collège privé Piarres Larzabal,college,Privé,Bordeaux,Pyrénées-Atlantiques,Ciboure,124.1,43.38356763367067,-1.6901867572052691,1,1,0,3,3,2,1,2025-2026
0660004W,"Lycée polyvalent Déodat de Séverac - Lycée des métiers du transport, de la logistique et des gestions associées",lycee,Public,Montpellier,Pyrénées-Orientales,Céret,100.0,42.485310859764,2.7529518903184065,2,2,0,47,47,3,1,2025-2026
0670002N,Lycée général et technologique Schuré,lycee,Public,Strasbourg,Bas-Rhin,Barr,114.4,48.40860275327867,7.4571555564387975,1,1,0,21,21,2,0,2025-2026
0670007U,Lycée général et technologique Adrien Zeller,lycee,Public,Strasbourg,Bas-Rhin,Bouxwiller,115.8,48.82617234402131,7.484151560710911,1,1,0,17,17,1,1,2025-2026
0672806L,Lycée polyvalent Marcel Rudloff,lycee,Public,Strasbourg,Bas-Rhin,Strasbourg,94.3,48.58522934997302,7.694878088925349,1,1,0,35,35,4,0,2024-2025|2025-2026
0680010S,Lycée polyvalent Blaise Pascal,lycee,Public,Strasbourg,Haut-Rhin,Colmar,98.4,48.08338926810393,7.343335445801183,1,1,0,39,22,4,5,2024-2025
0690023A,Lycée général et technologique Ampère,lycee,Public,Lyon,Rhône,Lyon 2e  Arrondissement,124.0,45.76528336519406,4.83700438868978,1,1,0,122,110,47,2,2024-2025|2025-2026
0690026D,Lycée général du Parc,lycee,Public,Lyon,Rhône,Lyon 6e  Arrondissement,135.6,45.77170286114671,4.856922375378193,1,1,0,7,7,6,7,2024-2025|2025-2026
0750648X,Lycée général et technologique Victor Hugo,lycee,Public,Paris,Paris,Paris  3e  Arrondissement,138.9,48.85751187081702,2.363169676401168,1,1,0,67,67,3,0,2025-2026
